file,training_data,n_features,n_train,n_test,hyperparameters,roc_auc,sensitivity(recall),NPV
catboost_all_features.pkl,NHANES + KNHANES pooled,241,18758,8040,"{""colsample_bylevel"": 0.988952150002474, ""learning_rate"": 0.05334104091463987, ""max_depth"": 4, ""reg_lambda"": 4.064891190093774, ""n_estimators"": 371}",0.88,0.778,0.871
catboost_top20.pkl,NHANES + KNHANES pooled,20,18758,8040,"{""colsample_bylevel"": 0.988952150002474, ""learning_rate"": 0.05334104091463987, ""max_depth"": 4, ""reg_lambda"": 4.064891190093774, ""n_estimators"": 371}",0.88,0.785,0.874
